source_file,mutated_file,mutation_class,mutation,target_event,target_object,intended_dimension,nominal_single_deviation_cost,expected_optimum,details
component_002_events_0028_objects_0013.jsonocel,object_extra_item_relation/component_002_events_0028_objects_0013.jsonocel,object,add_unrelated_item_relation_to_create_package,create_p-660003,i-880007,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Added one existing ITEM not originally related to this create package event
component_003_events_0022_objects_0011.jsonocel,data_package_weight/component_003_events_0022_objects_0011.jsonocel,data,wrong_package_weight,create_p-660002,p-660002,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 3.125 -> 3.262
component_003_events_0022_objects_0011.jsonocel,data_order_price/component_003_events_0022_objects_0011.jsonocel,data,wrong_order_price,pay_o-990004,o-990004,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 2241.95 -> 2249.2599999999998
component_003_events_0022_objects_0011.jsonocel,cf_missing_pick/component_003_events_0022_objects_0011.jsonocel,control_flow,remove_pick_event,pick_i-880019,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_003_events_0022_objects_0011.jsonocel,cf_extra_pick/component_003_events_0022_objects_0011.jsonocel,control_flow,duplicate_pick_event,pick_i-880019__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-880019
component_003_events_0022_objects_0011.jsonocel,object_missing_item_relation/component_003_events_0022_objects_0011.jsonocel,object,remove_item_relation_from_create_package,create_p-660002,i-880013,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_003_events_0022_objects_0011.jsonocel,object_extra_item_relation/component_003_events_0022_objects_0011.jsonocel,object,add_unrelated_item_relation_to_create_package,create_p-660002,i-880016,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Added one existing ITEM not originally related to this create package event
component_004_events_0013_objects_0009.jsonocel,data_package_weight/component_004_events_0013_objects_0009.jsonocel,data,wrong_package_weight,create_p-660004,p-660004,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 5.247 -> 5.384
component_004_events_0013_objects_0009.jsonocel,data_order_price/component_004_events_0013_objects_0009.jsonocel,data,wrong_order_price,pay_o-990006,o-990006,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 5732.98 -> 5740.29
component_004_events_0013_objects_0009.jsonocel,cf_missing_pick/component_004_events_0013_objects_0009.jsonocel,control_flow,remove_pick_event,pick_i-880029,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_004_events_0013_objects_0009.jsonocel,cf_extra_pick/component_004_events_0013_objects_0009.jsonocel,control_flow,duplicate_pick_event,pick_i-880029__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-880029
component_004_events_0013_objects_0009.jsonocel,object_missing_item_relation/component_004_events_0013_objects_0009.jsonocel,object,remove_item_relation_from_create_package,create_p-660004,i-880026,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_005_events_0035_objects_0016.jsonocel,data_package_weight/component_005_events_0035_objects_0016.jsonocel,data,wrong_package_weight,create_p-660005,p-660005,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 3.471 -> 3.608
component_005_events_0035_objects_0016.jsonocel,data_order_price/component_005_events_0035_objects_0016.jsonocel,data,wrong_order_price,pay_o-990007,o-990007,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 2600.98 -> 2608.29
component_005_events_0035_objects_0016.jsonocel,cf_missing_pick/component_005_events_0035_objects_0016.jsonocel,control_flow,remove_pick_event,pick_i-880103,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_005_events_0035_objects_0016.jsonocel,cf_extra_pick/component_005_events_0035_objects_0016.jsonocel,control_flow,duplicate_pick_event,pick_i-880103__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-880103
component_005_events_0035_objects_0016.jsonocel,object_missing_item_relation/component_005_events_0035_objects_0016.jsonocel,object,remove_item_relation_from_create_package,create_p-660005,i-880033,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_005_events_0035_objects_0016.jsonocel,object_extra_item_relation/component_005_events_0035_objects_0016.jsonocel,object,add_unrelated_item_relation_to_create_package,create_p-660005,i-880036,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Added one existing ITEM not originally related to this create package event
component_006_events_0031_objects_0015.jsonocel,data_package_weight/component_006_events_0031_objects_0015.jsonocel,data,wrong_package_weight,create_p-660006,p-660006,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 2.699 -> 2.836
component_006_events_0031_objects_0015.jsonocel,data_order_price/component_006_events_0031_objects_0015.jsonocel,data,wrong_order_price,pay_o-990027,o-990027,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 630.99 -> 638.3
component_006_events_0031_objects_0015.jsonocel,cf_missing_pick/component_006_events_0031_objects_0015.jsonocel,control_flow,remove_pick_event,pick_i-880051,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_006_events_0031_objects_0015.jsonocel,cf_extra_pick/component_006_events_0031_objects_0015.jsonocel,control_flow,duplicate_pick_event,pick_i-880051__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-880051
component_006_events_0031_objects_0015.jsonocel,object_missing_item_relation/component_006_events_0031_objects_0015.jsonocel,object,remove_item_relation_from_create_package,create_p-660006,i-880044,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_006_events_0031_objects_0015.jsonocel,object_extra_item_relation/component_006_events_0031_objects_0015.jsonocel,object,add_unrelated_item_relation_to_create_package,create_p-660006,i-880046,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Added one existing ITEM not originally related to this create package event
component_009_events_0015_objects_0008.jsonocel,data_package_weight/component_009_events_0015_objects_0008.jsonocel,data,wrong_package_weight,create_p-660009,p-660009,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 1.21 -> 1.347
component_009_events_0015_objects_0008.jsonocel,data_order_price/component_009_events_0015_objects_0008.jsonocel,data,wrong_order_price,pay_o-990013,o-990013,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 3349.99 -> 3357.2999999999997
component_009_events_0015_objects_0008.jsonocel,cf_missing_pick/component_009_events_0015_objects_0008.jsonocel,control_flow,remove_pick_event,pick_i-880063,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_009_events_0015_objects_0008.jsonocel,cf_extra_pick/component_009_events_0015_objects_0008.jsonocel,control_flow,duplicate_pick_event,pick_i-880063__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-880063
component_009_events_0015_objects_0008.jsonocel,object_missing_item_relation/component_009_events_0015_objects_0008.jsonocel,object,remove_item_relation_from_create_package,create_p-660009,i-880060,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_011_events_0028_objects_0017.jsonocel,data_package_weight/component_011_events_0028_objects_0017.jsonocel,data,wrong_package_weight,create_p-660011,p-660011,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 7.113 -> 7.25
component_011_events_0028_objects_0017.jsonocel,data_order_price/component_011_events_0028_objects_0017.jsonocel,data,wrong_order_price,pay_o-990019,o-990019,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 1498.99 -> 1506.3
component_011_events_0028_objects_0017.jsonocel,cf_missing_pick/component_011_events_0028_objects_0017.jsonocel,control_flow,remove_pick_event,pick_i-880091,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_011_events_0028_objects_0017.jsonocel,cf_extra_pick/component_011_events_0028_objects_0017.jsonocel,control_flow,duplicate_pick_event,pick_i-880091__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-880091
component_011_events_0028_objects_0017.jsonocel,object_missing_item_relation/component_011_events_0028_objects_0017.jsonocel,object,remove_item_relation_from_create_package,create_p-660011,i-880072,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_014_events_0102_objects_0053.jsonocel,data_package_weight/component_014_events_0102_objects_0053.jsonocel,data,wrong_package_weight,create_p-660015,p-660015,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 1.086 -> 1.223
component_014_events_0102_objects_0053.jsonocel,data_order_price/component_014_events_0102_objects_0053.jsonocel,data,wrong_order_price,pay_o-990020,o-990020,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 1319.99 -> 1327.3
component_014_events_0102_objects_0053.jsonocel,cf_missing_pick/component_014_events_0102_objects_0053.jsonocel,control_flow,remove_pick_event,pick_i-880620,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_014_events_0102_objects_0053.jsonocel,cf_extra_pick/component_014_events_0102_objects_0053.jsonocel,control_flow,duplicate_pick_event,pick_i-880620__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-880620
component_014_events_0102_objects_0053.jsonocel,object_missing_item_relation/component_014_events_0102_objects_0053.jsonocel,object,remove_item_relation_from_create_package,create_p-660015,i-880092,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_014_events_0102_objects_0053.jsonocel,object_extra_item_relation/component_014_events_0102_objects_0053.jsonocel,object,add_unrelated_item_relation_to_create_package,create_p-660015,i-880135,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Added one existing ITEM not originally related to this create package event
component_020_events_0022_objects_0009.jsonocel,data_package_weight/component_020_events_0022_objects_0009.jsonocel,data,wrong_package_weight,create_p-660027,p-660027,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 5.656 -> 5.792999999999999
component_020_events_0022_objects_0009.jsonocel,data_order_price/component_020_events_0022_objects_0009.jsonocel,data,wrong_order_price,pay_o-990042,o-990042,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 5327.97 -> 5335.280000000001
component_020_events_0022_objects_0009.jsonocel,cf_missing_pick/component_020_events_0022_objects_0009.jsonocel,control_flow,remove_pick_event,pick_i-880184,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_020_events_0022_objects_0009.jsonocel,cf_extra_pick/component_020_events_0022_objects_0009.jsonocel,control_flow,duplicate_pick_event,pick_i-880184__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-880184
component_020_events_0022_objects_0009.jsonocel,object_missing_item_relation/component_020_events_0022_objects_0009.jsonocel,object,remove_item_relation_from_create_package,create_p-660027,i-880182,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_021_events_0013_objects_0005.jsonocel,data_package_weight/component_021_events_0013_objects_0005.jsonocel,data,wrong_package_weight,create_p-660032,p-660032,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 1.37 -> 1.5070000000000001
component_021_events_0013_objects_0005.jsonocel,data_order_price/component_021_events_0013_objects_0005.jsonocel,data,wrong_order_price,pay_o-990046,o-990046,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 3304.0 -> 3311.31
component_021_events_0013_objects_0005.jsonocel,cf_missing_pick/component_021_events_0013_objects_0005.jsonocel,control_flow,remove_pick_event,pick_i-880197,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_021_events_0013_objects_0005.jsonocel,cf_extra_pick/component_021_events_0013_objects_0005.jsonocel,control_flow,duplicate_pick_event,pick_i-880197__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-880197
component_021_events_0013_objects_0005.jsonocel,object_missing_item_relation/component_021_events_0013_objects_0005.jsonocel,object,remove_item_relation_from_create_package,create_p-660032,i-880196,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_021_events_0013_objects_0005.jsonocel,object_extra_item_relation/component_021_events_0013_objects_0005.jsonocel,object,add_unrelated_item_relation_to_create_package,create_p-660032,i-880197,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Added one existing ITEM not originally related to this create package event
component_024_events_0010_objects_0005.jsonocel,data_package_weight/component_024_events_0010_objects_0005.jsonocel,data,wrong_package_weight,create_p-660040,p-660040,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 2.151 -> 2.288
component_024_events_0010_objects_0005.jsonocel,data_order_price/component_024_events_0010_objects_0005.jsonocel,data,wrong_order_price,pay_o-990077,o-990077,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 2452.99 -> 2460.2999999999997
component_024_events_0010_objects_0005.jsonocel,cf_missing_pick/component_024_events_0010_objects_0005.jsonocel,control_flow,remove_pick_event,pick_i-880328,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_024_events_0010_objects_0005.jsonocel,cf_extra_pick/component_024_events_0010_objects_0005.jsonocel,control_flow,duplicate_pick_event,pick_i-880328__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-880328
component_024_events_0010_objects_0005.jsonocel,object_missing_item_relation/component_024_events_0010_objects_0005.jsonocel,object,remove_item_relation_from_create_package,create_p-660040,i-880326,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_028_events_0012_objects_0008.jsonocel,data_package_weight/component_028_events_0012_objects_0008.jsonocel,data,wrong_package_weight,create_p-660133,p-660133,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 3.494 -> 3.6310000000000002
component_028_events_0012_objects_0008.jsonocel,data_order_price/component_028_events_0012_objects_0008.jsonocel,data,wrong_order_price,pay_o-990241,o-990241,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 4921.98 -> 4929.29
component_028_events_0012_objects_0008.jsonocel,cf_missing_pick/component_028_events_0012_objects_0008.jsonocel,control_flow,remove_pick_event,pick_i-881003,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_028_events_0012_objects_0008.jsonocel,cf_extra_pick/component_028_events_0012_objects_0008.jsonocel,control_flow,duplicate_pick_event,pick_i-881003__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-881003
component_028_events_0012_objects_0008.jsonocel,object_missing_item_relation/component_028_events_0012_objects_0008.jsonocel,object,remove_item_relation_from_create_package,create_p-660133,i-881000,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_029_events_0021_objects_0010.jsonocel,data_package_weight/component_029_events_0021_objects_0010.jsonocel,data,wrong_package_weight,create_p-660144,p-660144,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 3.321 -> 3.458
component_029_events_0021_objects_0010.jsonocel,data_order_price/component_029_events_0021_objects_0010.jsonocel,data,wrong_order_price,pay_o-990254,o-990254,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 3908.99 -> 3916.2999999999997
component_029_events_0021_objects_0010.jsonocel,cf_missing_pick/component_029_events_0021_objects_0010.jsonocel,control_flow,remove_pick_event,pick_i-881052,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_029_events_0021_objects_0010.jsonocel,cf_extra_pick/component_029_events_0021_objects_0010.jsonocel,control_flow,duplicate_pick_event,pick_i-881052__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-881052
component_029_events_0021_objects_0010.jsonocel,object_missing_item_relation/component_029_events_0021_objects_0010.jsonocel,object,remove_item_relation_from_create_package,create_p-660144,i-881049,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_029_events_0021_objects_0010.jsonocel,object_extra_item_relation/component_029_events_0021_objects_0010.jsonocel,object,add_unrelated_item_relation_to_create_package,create_p-660144,i-881050,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Added one existing ITEM not originally related to this create package event
component_030_events_0061_objects_0033.jsonocel,data_package_weight/component_030_events_0061_objects_0033.jsonocel,data,wrong_package_weight,create_p-660186,p-660186,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 3.735 -> 3.872
component_030_events_0061_objects_0033.jsonocel,data_order_price/component_030_events_0061_objects_0033.jsonocel,data,wrong_order_price,pay_o-990338,o-990338,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 512.37 -> 519.68
component_030_events_0061_objects_0033.jsonocel,cf_missing_pick/component_030_events_0061_objects_0033.jsonocel,control_flow,remove_pick_event,pick_i-881600,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_030_events_0061_objects_0033.jsonocel,cf_extra_pick/component_030_events_0061_objects_0033.jsonocel,control_flow,duplicate_pick_event,pick_i-881600__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-881600
component_030_events_0061_objects_0033.jsonocel,object_missing_item_relation/component_030_events_0061_objects_0033.jsonocel,object,remove_item_relation_from_create_package,create_p-660186,i-881354,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_030_events_0061_objects_0033.jsonocel,object_extra_item_relation/component_030_events_0061_objects_0033.jsonocel,object,add_unrelated_item_relation_to_create_package,create_p-660186,i-881356,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Added one existing ITEM not originally related to this create package event
component_031_events_0009_objects_0005.jsonocel,data_package_weight/component_031_events_0009_objects_0005.jsonocel,data,wrong_package_weight,create_p-660218,p-660218,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 1.843 -> 1.98
component_031_events_0009_objects_0005.jsonocel,data_order_price/component_031_events_0009_objects_0005.jsonocel,data,wrong_order_price,pay_o-990387,o-990387,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 258.67 -> 265.98
component_031_events_0009_objects_0005.jsonocel,cf_missing_pick/component_031_events_0009_objects_0005.jsonocel,control_flow,remove_pick_event,pick_i-881580,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_031_events_0009_objects_0005.jsonocel,cf_extra_pick/component_031_events_0009_objects_0005.jsonocel,control_flow,duplicate_pick_event,pick_i-881580__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-881580
component_031_events_0009_objects_0005.jsonocel,object_missing_item_relation/component_031_events_0009_objects_0005.jsonocel,object,remove_item_relation_from_create_package,create_p-660218,i-881578,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_032_events_0007_objects_0003.jsonocel,data_package_weight/component_032_events_0007_objects_0003.jsonocel,data,wrong_package_weight,create_p-660247,p-660247,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 0.483 -> 0.62
component_032_events_0007_objects_0003.jsonocel,data_order_price/component_032_events_0007_objects_0003.jsonocel,data,wrong_order_price,pay_o-990424,o-990424,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 528.26 -> 535.5699999999999
component_032_events_0007_objects_0003.jsonocel,cf_missing_pick/component_032_events_0007_objects_0003.jsonocel,control_flow,remove_pick_event,pick_i-881734,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_032_events_0007_objects_0003.jsonocel,cf_extra_pick/component_032_events_0007_objects_0003.jsonocel,control_flow,duplicate_pick_event,pick_i-881734__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-881734
component_032_events_0007_objects_0003.jsonocel,object_missing_item_relation/component_032_events_0007_objects_0003.jsonocel,object,remove_item_relation_from_create_package,create_p-660247,i-881734,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_036_events_0017_objects_0008.jsonocel,data_package_weight/component_036_events_0017_objects_0008.jsonocel,data,wrong_package_weight,create_p-660296,p-660296,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 3.094 -> 3.231
component_036_events_0017_objects_0008.jsonocel,data_order_price/component_036_events_0017_objects_0008.jsonocel,data,wrong_order_price,pay_o-990534,o-990534,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 1230.14 -> 1237.45
component_036_events_0017_objects_0008.jsonocel,cf_missing_pick/component_036_events_0017_objects_0008.jsonocel,control_flow,remove_pick_event,pick_i-882181,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_036_events_0017_objects_0008.jsonocel,cf_extra_pick/component_036_events_0017_objects_0008.jsonocel,control_flow,duplicate_pick_event,pick_i-882181__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-882181
component_036_events_0017_objects_0008.jsonocel,object_missing_item_relation/component_036_events_0017_objects_0008.jsonocel,object,remove_item_relation_from_create_package,create_p-660296,i-882143,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_037_events_0012_objects_0006.jsonocel,data_package_weight/component_037_events_0012_objects_0006.jsonocel,data,wrong_package_weight,create_p-660318,p-660318,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 1.513 -> 1.65
component_037_events_0012_objects_0006.jsonocel,data_order_price/component_037_events_0012_objects_0006.jsonocel,data,wrong_order_price,pay_o-990566,o-990566,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 1622.35 -> 1629.6599999999999
component_037_events_0012_objects_0006.jsonocel,cf_missing_pick/component_037_events_0012_objects_0006.jsonocel,control_flow,remove_pick_event,pick_i-882307,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_037_events_0012_objects_0006.jsonocel,cf_extra_pick/component_037_events_0012_objects_0006.jsonocel,control_flow,duplicate_pick_event,pick_i-882307__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-882307
component_037_events_0012_objects_0006.jsonocel,object_missing_item_relation/component_037_events_0012_objects_0006.jsonocel,object,remove_item_relation_from_create_package,create_p-660318,i-882307,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_038_events_0008_objects_0004.jsonocel,data_package_weight/component_038_events_0008_objects_0004.jsonocel,data,wrong_package_weight,create_p-660508,p-660508,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 1.57 -> 1.707
component_038_events_0008_objects_0004.jsonocel,data_order_price/component_038_events_0008_objects_0004.jsonocel,data,wrong_order_price,pay_o-990878,o-990878,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 2753.27 -> 2760.58
component_038_events_0008_objects_0004.jsonocel,cf_missing_pick/component_038_events_0008_objects_0004.jsonocel,control_flow,remove_pick_event,pick_i-883512,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_038_events_0008_objects_0004.jsonocel,cf_extra_pick/component_038_events_0008_objects_0004.jsonocel,control_flow,duplicate_pick_event,pick_i-883512__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-883512
component_038_events_0008_objects_0004.jsonocel,object_missing_item_relation/component_038_events_0008_objects_0004.jsonocel,object,remove_item_relation_from_create_package,create_p-660508,i-883511,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_042_events_0009_objects_0005.jsonocel,data_package_weight/component_042_events_0009_objects_0005.jsonocel,data,wrong_package_weight,create_p-660528,p-660528,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 1.832 -> 1.969
component_042_events_0009_objects_0005.jsonocel,data_order_price/component_042_events_0009_objects_0005.jsonocel,data,wrong_order_price,pay_o-990916,o-990916,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 966.88 -> 974.1899999999999
component_042_events_0009_objects_0005.jsonocel,cf_missing_pick/component_042_events_0009_objects_0005.jsonocel,control_flow,remove_pick_event,pick_i-883672,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_042_events_0009_objects_0005.jsonocel,cf_extra_pick/component_042_events_0009_objects_0005.jsonocel,control_flow,duplicate_pick_event,pick_i-883672__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-883672
